,Unnamed: 0,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
165,165,PAIDOFF,1000,30,9/12/2016,11/10/2016,24,High School or Below,male
166,166,PAIDOFF,1000,30,9/12/2016,10/11/2016,28,college,male
168,168,PAIDOFF,1000,15,9/12/2016,9/26/2016,35,High School or Below,male
170,170,PAIDOFF,1000,15,9/12/2016,9/26/2016,38,High School or Below,male
171,171,PAIDOFF,1000,30,9/12/2016,10/11/2016,29,college,male
172,172,PAIDOFF,800,15,9/12/2016,9/26/2016,35,High School or Below,male
173,173,PAIDOFF,1000,30,9/12/2016,10/11/2016,24,college,male
174,174,PAIDOFF,800,15,9/12/2016,9/26/2016,39,High School or Below,male
175,175,PAIDOFF,800,15,9/12/2016,9/26/2016,25,college,male
176,176,PAIDOFF,1000,30,9/12/2016,10/11/2016,38,High School or Below,male
177,177,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,college,male
178,178,PAIDOFF,1000,30,9/12/2016,10/11/2016,21,High School or Below,male
180,180,PAIDOFF,1000,15,9/12/2016,9/26/2016,31,High School or Below,female
181,181,PAIDOFF,300,7,9/12/2016,9/18/2016,29,High School or Below,male
182,182,PAIDOFF,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
183,183,PAIDOFF,800,15,9/12/2016,9/26/2016,30,High School or Below,male
184,184,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
185,185,PAIDOFF,1000,30,9/12/2016,10/11/2016,31,High School or Below,female
187,187,PAIDOFF,1000,15,9/12/2016,9/26/2016,34,High School or Below,male
188,188,PAIDOFF,800,15,9/12/2016,9/26/2016,28,college,male
189,189,PAIDOFF,800,15,9/12/2016,9/26/2016,42,college,male
190,190,PAIDOFF,1000,30,9/12/2016,10/11/2016,32,college,male
191,191,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
192,192,PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,female
193,193,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,female
194,194,PAIDOFF,800,15,9/12/2016,9/26/2016,21,college,male
195,195,PAIDOFF,1000,30,9/12/2016,10/11/2016,24,college,male
197,197,PAIDOFF,1000,15,9/12/2016,9/26/2016,40,college,male
198,198,PAIDOFF,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
200,200,PAIDOFF,1000,15,9/12/2016,9/26/2016,30,college,male
201,201,PAIDOFF,1000,30,9/12/2016,10/11/2016,26,High School or Below,female
203,203,PAIDOFF,800,15,9/12/2016,9/26/2016,27,college,male
204,204,PAIDOFF,1000,30,9/12/2016,10/11/2016,20,college,male
205,205,PAIDOFF,1000,7,9/12/2016,9/18/2016,26,Bechalor,female
206,206,PAIDOFF,1000,30,9/12/2016,11/10/2016,26,college,male
207,207,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,college,male
208,208,PAIDOFF,300,7,9/12/2016,9/18/2016,23,High School or Below,male
209,209,PAIDOFF,1000,30,9/12/2016,10/11/2016,39,High School or Below,male
210,210,PAIDOFF,1000,15,9/12/2016,9/26/2016,27,High School or Below,male
211,211,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
212,212,PAIDOFF,1000,30,9/12/2016,10/11/2016,33,High School or Below,female
213,213,PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
214,214,PAIDOFF,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
215,215,PAIDOFF,1000,30,9/12/2016,11/10/2016,29,college,female
216,216,PAIDOFF,1000,15,9/12/2016,9/26/2016,50,High School or Below,male
217,217,PAIDOFF,800,15,9/12/2016,9/26/2016,31,High School or Below,female
218,218,PAIDOFF,1000,15,9/12/2016,9/26/2016,31,High School or Below,male
219,219,PAIDOFF,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
220,220,PAIDOFF,1000,15,9/12/2016,9/26/2016,35,college,male
221,221,PAIDOFF,1000,30,9/12/2016,10/11/2016,39,college,male
223,223,PAIDOFF,1000,15,9/12/2016,9/26/2016,30,High School or Below,male
224,224,PAIDOFF,1000,30,9/12/2016,10/11/2016,33,Bechalor,male
225,225,PAIDOFF,1000,30,9/12/2016,10/11/2016,26,High School or Below,male
226,226,PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
227,227,PAIDOFF,800,15,9/12/2016,9/26/2016,37,Bechalor,male
228,228,PAIDOFF,800,15,9/12/2016,9/26/2016,26,High School or Below,male
229,229,PAIDOFF,800,15,9/12/2016,9/26/2016,26,college,male
230,230,PAIDOFF,1000,15,9/12/2016,10/26/2016,27,college,male
231,231,PAIDOFF,1000,7,9/12/2016,9/25/2016,34,college,female
232,232,PAIDOFF,1000,30,9/12/2016,10/11/2016,37,college,male
233,233,PAIDOFF,1000,30,9/12/2016,10/11/2016,36,High School or Below,male
234,234,PAIDOFF,800,15,9/12/2016,9/26/2016,33,High School or Below,male
235,235,PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
237,237,PAIDOFF,800,15,9/12/2016,9/26/2016,36,High School or Below,male
238,238,PAIDOFF,1000,15,9/12/2016,10/11/2016,29,college,male
240,240,PAIDOFF,1000,30,9/12/2016,10/11/2016,32,High School or Below,male
241,241,PAIDOFF,1000,15,9/12/2016,9/26/2016,29,High School or Below,female
242,242,PAIDOFF,800,15,9/12/2016,9/26/2016,36,Bechalor,male
243,243,PAIDOFF,800,15,9/12/2016,9/26/2016,30,High School or Below,female
244,244,PAIDOFF,1000,7,9/13/2016,9/19/2016,31,college,male
245,245,PAIDOFF,1000,30,9/13/2016,10/12/2016,19,High School or Below,female
246,246,PAIDOFF,800,15,9/13/2016,9/27/2016,26,college,male
247,247,PAIDOFF,800,15,9/13/2016,9/27/2016,34,High School or Below,male
248,248,PAIDOFF,1000,30,9/13/2016,10/12/2016,35,High School or Below,male
249,249,PAIDOFF,1000,15,9/13/2016,9/27/2016,35,Bechalor,female
250,250,PAIDOFF,800,15,9/13/2016,9/27/2016,38,college,male
253,253,PAIDOFF,500,7,9/13/2016,9/19/2016,22,High School or Below,male
254,254,PAIDOFF,1000,30,9/13/2016,10/12/2016,32,college,male
255,255,PAIDOFF,1000,30,9/13/2016,10/12/2016,31,college,male
256,256,PAIDOFF,800,15,9/13/2016,9/27/2016,28,college,male
257,257,PAIDOFF,1000,15,9/13/2016,9/27/2016,37,college,female
258,258,PAIDOFF,1000,7,9/13/2016,9/19/2016,25,college,male
259,259,PAIDOFF,1000,30,9/13/2016,10/12/2016,19,High School or Below,male
260,260,PAIDOFF,800,15,9/13/2016,9/27/2016,51,college,male
261,261,PAIDOFF,1000,15,9/13/2016,9/27/2016,29,High School or Below,male
262,262,PAIDOFF,800,30,9/13/2016,10/12/2016,23,college,female
263,263,PAIDOFF,1000,15,9/13/2016,9/27/2016,30,High School or Below,male
265,265,PAIDOFF,1000,15,9/13/2016,9/27/2016,34,Bechalor,female
266,266,PAIDOFF,800,15,9/13/2016,9/27/2016,31,Bechalor,female
267,267,PAIDOFF,1000,15,9/14/2016,9/28/2016,24,High School or Below,male
268,268,PAIDOFF,1000,30,9/14/2016,10/13/2016,42,High School or Below,male
269,269,PAIDOFF,800,30,9/14/2016,10/13/2016,40,college,female
270,270,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
271,271,PAIDOFF,1000,30,9/14/2016,10/13/2016,32,college,female
272,272,PAIDOFF,1000,30,9/14/2016,11/12/2016,28,college,male
273,273,PAIDOFF,1000,30,9/14/2016,10/13/2016,35,High School or Below,male
274,274,PAIDOFF,1000,30,9/14/2016,10/13/2016,30,Bechalor,male
275,275,PAIDOFF,800,15,9/14/2016,9/28/2016,44,college,male
276,276,PAIDOFF,800,15,9/14/2016,9/28/2016,37,High School or Below,male
277,277,PAIDOFF,1000,30,9/14/2016,10/13/2016,31,college,male
278,278,PAIDOFF,800,15,9/14/2016,9/28/2016,36,college,male
279,279,PAIDOFF,800,30,9/14/2016,10/13/2016,31,college,male
280,280,PAIDOFF,800,15,9/14/2016,9/28/2016,42,High School or Below,male
281,281,PAIDOFF,1000,15,9/14/2016,9/28/2016,28,Bechalor,male
282,282,PAIDOFF,1000,30,9/14/2016,10/13/2016,30,college,male
283,283,PAIDOFF,1000,30,9/14/2016,10/13/2016,30,High School or Below,male
284,284,PAIDOFF,1000,15,9/14/2016,9/28/2016,24,Bechalor,male
285,285,PAIDOFF,1000,30,9/14/2016,11/12/2016,34,Bechalor,male
286,286,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,college,male
288,288,PAIDOFF,1000,30,9/14/2016,10/13/2016,34,Bechalor,male
289,289,PAIDOFF,800,15,9/14/2016,9/28/2016,28,High School or Below,male
290,290,PAIDOFF,1000,15,9/14/2016,9/28/2016,30,college,female
291,291,PAIDOFF,1000,30,9/14/2016,10/13/2016,41,High School or Below,male
292,292,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,college,male
293,293,PAIDOFF,1000,30,9/14/2016,10/13/2016,37,High School or Below,male
294,294,PAIDOFF,1000,30,9/14/2016,10/13/2016,36,Bechalor,male
296,296,PAIDOFF,800,15,9/14/2016,9/28/2016,27,college,male
297,297,PAIDOFF,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
298,298,PAIDOFF,1000,30,9/14/2016,10/13/2016,40,High School or Below,male
299,299,PAIDOFF,1000,30,9/14/2016,10/13/2016,28,college,male
300,300,COLLECTION,1000,15,9/9/2016,9/23/2016,29,college,male
301,301,COLLECTION,1000,30,9/9/2016,10/8/2016,37,High School or Below,male
303,303,COLLECTION,800,15,9/9/2016,9/23/2016,27,college,male
304,304,COLLECTION,800,15,9/9/2016,9/23/2016,24,Bechalor,male
306,306,COLLECTION,800,15,9/10/2016,10/9/2016,28,college,male
307,307,COLLECTION,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
308,308,COLLECTION,1000,30,9/10/2016,10/9/2016,33,college,male
312,312,COLLECTION,1000,30,9/10/2016,10/9/2016,27,High School or Below,male
314,314,COLLECTION,1000,30,9/10/2016,10/9/2016,24,college,male
316,316,COLLECTION,1000,30,9/10/2016,10/9/2016,30,High School or Below,male
317,317,COLLECTION,1000,15,9/10/2016,9/24/2016,29,High School or Below,male
318,318,COLLECTION,1000,30,9/10/2016,10/9/2016,22,Bechalor,male
319,319,COLLECTION,1000,15,9/10/2016,9/24/2016,24,Bechalor,male
320,320,COLLECTION,1000,30,9/10/2016,10/9/2016,25,college,male
321,321,COLLECTION,1000,30,9/10/2016,10/9/2016,28,High School or Below,male
322,322,COLLECTION,1000,30,9/10/2016,10/9/2016,37,college,male
323,323,COLLECTION,800,15,9/10/2016,9/24/2016,32,college,male
324,324,COLLECTION,1000,15,9/10/2016,9/24/2016,34,college,male
325,325,COLLECTION,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
326,326,COLLECTION,800,15,9/11/2016,9/25/2016,35,Bechalor,male
327,327,COLLECTION,1000,30,9/11/2016,11/9/2016,27,college,male
329,329,COLLECTION,1000,30,9/11/2016,10/10/2016,44,Bechalor,male
330,330,COLLECTION,1000,15,9/11/2016,10/25/2016,31,college,male
332,332,COLLECTION,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
333,333,COLLECTION,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
334,334,COLLECTION,1000,30,9/11/2016,10/10/2016,38,college,female
335,335,COLLECTION,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
336,336,COLLECTION,1000,30,9/11/2016,10/10/2016,31,college,male
337,337,COLLECTION,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
338,338,COLLECTION,1000,15,9/11/2016,9/25/2016,27,college,female
339,339,COLLECTION,1000,15,9/11/2016,9/25/2016,39,High School or Below,male
340,340,COLLECTION,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
341,341,COLLECTION,1000,30,9/11/2016,10/10/2016,25,college,male
342,342,COLLECTION,1000,15,9/11/2016,9/25/2016,50,Master or Above,male
343,343,COLLECTION,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
344,344,COLLECTION,800,15,9/11/2016,9/25/2016,38,Bechalor,male
345,345,COLLECTION,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
346,346,COLLECTION,1000,30,9/11/2016,11/9/2016,31,High School or Below,male
347,347,COLLECTION,800,15,9/11/2016,9/25/2016,40,college,male
350,350,COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
351,351,COLLECTION,1000,15,9/11/2016,9/25/2016,25,college,male
352,352,COLLECTION,1000,30,9/11/2016,10/10/2016,35,High School or Below,male
353,353,COLLECTION,1000,30,9/11/2016,10/10/2016,41,High School or Below,male
354,354,COLLECTION,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
355,355,COLLECTION,1000,15,9/11/2016,10/10/2016,34,college,male
356,356,COLLECTION,1000,30,9/11/2016,10/10/2016,45,High School or Below,male
357,357,COLLECTION,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
358,358,COLLECTION,1000,30,9/11/2016,10/10/2016,32,college,male
359,359,COLLECTION,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
360,360,COLLECTION,1000,30,9/11/2016,10/10/2016,34,college,male
361,361,COLLECTION,800,15,9/11/2016,9/25/2016,29,High School or Below,male
362,362,COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
363,363,COLLECTION,1000,15,9/11/2016,9/25/2016,26,college,male
364,364,COLLECTION,800,15,9/11/2016,9/25/2016,22,college,male
365,365,COLLECTION,1000,30,9/11/2016,10/10/2016,27,High School or Below,female
366,366,COLLECTION,800,30,9/11/2016,10/10/2016,33,High School or Below,male
367,367,COLLECTION,800,15,9/11/2016,9/25/2016,28,Bechalor,male
368,368,COLLECTION,1000,30,9/11/2016,10/10/2016,24,college,male
371,371,COLLECTION,1000,30,9/11/2016,10/10/2016,18,college,male
372,372,COLLECTION,800,15,9/11/2016,9/25/2016,25,High School or Below,male
373,373,COLLECTION,1000,15,9/11/2016,9/25/2016,40,High School or Below,male
374,374,COLLECTION,1000,30,9/11/2016,10/10/2016,29,college,male
375,375,COLLECTION,800,15,9/11/2016,9/25/2016,26,High School or Below,female
376,376,COLLECTION,1000,15,9/11/2016,9/25/2016,30,college,male
377,377,COLLECTION,1000,30,9/11/2016,10/10/2016,33,college,male
378,378,COLLECTION,1000,30,9/11/2016,10/10/2016,30,college,male
379,379,COLLECTION,1000,30,9/11/2016,10/10/2016,32,college,male
380,380,COLLECTION,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
381,381,COLLECTION,800,15,9/11/2016,9/25/2016,35,High School or Below,male
382,382,COLLECTION,1000,15,9/11/2016,9/25/2016,30,Bechalor,male
383,383,COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
384,384,COLLECTION,1000,30,9/11/2016,10/10/2016,29,High School or Below,male
385,385,COLLECTION,1000,30,9/11/2016,11/9/2016,26,High School or Below,male
386,386,COLLECTION,800,15,9/11/2016,9/25/2016,46,High School or Below,male
387,387,COLLECTION,1000,30,9/11/2016,10/10/2016,36,High School or Below,male
388,388,COLLECTION,1000,15,9/11/2016,9/25/2016,38,Bechalor,male
389,389,COLLECTION,1000,15,9/11/2016,10/25/2016,32,High School or Below,male
390,390,COLLECTION,1000,15,9/11/2016,9/25/2016,30,college,male
391,391,COLLECTION,800,15,9/11/2016,9/25/2016,35,High School or Below,male
392,392,COLLECTION,1000,30,9/11/2016,10/10/2016,29,college,female
393,393,COLLECTION,1000,30,9/11/2016,11/9/2016,26,college,male
394,394,COLLECTION,800,15,9/11/2016,9/25/2016,32,High School or Below,male
395,395,COLLECTION,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
397,397,COLLECTION,800,15,9/12/2016,9/26/2016,39,college,male
398,398,COLLECTION,1000,30,9/12/2016,11/10/2016,28,college,male
399,399,COLLECTION,1000,30,9/12/2016,10/11/2016,26,college,male
